Code;Population;
SK0316512711;1040;
SK0316512737;165;
SK0316512753;547;
SK0316512761;1797;
SK0316512796;441;
SK0316512818;169;
SK0316512834;1183;
SK0316545961;457;
SK0316557358;7424;
SK0317509558;1443;
SK0317509566;943;
SK0317509582;1983;
SK0317509591;1642;
SK0317509680;3178;
SK0317509728;2531;
SK0317509779;984;
SK0317509809;2453;
SK0317509817;951;
SK0317509850;3164;
SK0317509868;7539;
SK0317509884;3767;
SK0317509892;1961;
SK0317509906;3420;
SK0317509914;3991;
SK0317509931;3060;
SK0317510025;5266;
SK0317510033;2073;
SK0317510050;2181;
SK0317510092;822;
SK0317510149;831;
SK0317510157;1673;
SK0317510203;5623;
SK0317510246;2456;
SK0318507300;713;
SK0318507407;301;
SK0318510301;730;
SK0318510441;1072;
SK0318510530;439;
SK0318510548;1574;
SK0318510599;2926;
SK0318510629;2758;
SK0318510637;1601;
SK0318510661;1344;
SK0318510670;1038;
SK0318510718;1474;
SK0318510742;297;
SK0318510785;2019;
SK0318510807;1062;
SK0318510815;1612;
SK0318510823;998;
SK0318510866;453;
SK0318510955;106;
SK0318510998;26794;
SK0318511005;3755;
SK0318511030;1132;
SK0318511056;899;
SK0318511064;868;
SK0318511102;787;
SK0319512044;179;
SK0319512087;163;
SK0319512095;240;
SK0319512109;153;
SK0319512117;140;
SK0319512125;196;
SK0319512141;81;
SK0319512222;683;
SK0319512265;460;
SK0319512273;1627;
SK0319512303;93;
SK0319512311;128;
SK0319512320;364;
SK0319512338;89;
SK0319512427;58;
SK0319512443;547;
SK0319512451;72;
SK0319512460;1355;
SK0319512494;90;
SK0319512559;215;
SK0319512575;208;
SK0319512605;680;
SK0319512621;882;
SK0319512699;617;
SK0319512729;6248;
SK0319512788;251;
SK032A515850;10647;
SK032A515868;769;
SK032A515876;328;
SK032A515884;110;
SK032A515892;1374;
SK032A515906;1021;
SK032A515914;495;
SK032A515922;426;
SK032A515931;33;
SK032A515949;385;
SK032A515957;455;
SK032A515965;1002;
SK032A515973;604;
SK032A515981;198;
SK032A515990;116;
SK032A516007;113;
SK032A516015;148;
SK032A516023;212;
SK032A516031;251;
SK032A516040;825;
SK032A516058;200;
SK032A516066;126;
SK032A516074;558;
SK032A516082;350;
SK032A516091;257;
SK032A516104;265;
SK032A516112;238;
SK032A516121;577;
SK032A516139;394;
SK032A516147;305;
SK032A516155;477;
SK032A516163;158;
SK032A516171;189;
SK032A516198;277;
SK032A516210;1670;
SK032A516228;357;
SK032A516236;1298;
SK032A516244;435;
SK032A516252;429;
SK032A516261;262;
SK032A516279;632;
SK032A516287;114;
SK032A516295;758;
SK032A516309;114;
